FIPS,State,County,Years of Potential Life Lost Rate,Average Number of Physically Unhealthy Days,Average Number of Mentally Unhealthy Days,% Fair or Poor Health,Injury Death Rate,Primary Care Physicians Rate,% Uninsured,% Unemployed,Income Ratio,% Children in Poverty,Median Household Income,Life Expectancy,Drug Overdose Mortality Rate,Firearm Fatalities Rate,Homicide Rate,High School Graduation Rate,% Adults with Obesity,% Adults Reporting Currently Smoking,% Rural,Population
01001,Alabama,Autauga,9938.0,4.3,5.8,18.0,66.0,44.0,8.0,2.2,4.3,17.0,68857.0,74.8,11.0,17.0,8.0,83.0,38.0,15.0,40.7,60342.0
01003,Alabama,Baldwin,8957.0,3.9,6.0,17.0,82.0,63.0,10.0,2.3,4.4,14.0,74248.0,76.6,32.0,15.0,4.0,87.0,37.0,15.0,37.6,253507.0
01005,Alabama,Barbour,12739.0,5.4,6.3,28.0,86.0,40.0,12.0,4.4,5.6,35.0,45298.0,72.7,16.0,27.0,13.0,75.0,44.0,22.0,65.9,24585.0
01007,Alabama,Bibb,11709.0,5.1,6.6,25.0,100.0,67.0,11.0,2.5,5.3,21.0,56025.0,73.0,27.0,22.0,8.0,91.0,41.0,22.0,100.0,21868.0
01009,Alabama,Blount,11898.0,4.8,6.4,23.0,98.0,20.0,13.0,2.1,4.6,17.0,64962.0,72.9,24.0,18.0,6.0,94.0,37.0,20.0,90.5,59816.0
01011,Alabama,Bullock,15998.0,5.8,6.5,35.0,116.0,19.0,11.0,2.4,6.8,40.0,36204.0,71.0,,30.0,21.0,83.0,49.0,25.0,100.0,9897.0
01013,Alabama,Butler,14616.0,5.2,6.3,26.0,121.0,26.0,10.0,2.9,5.2,37.0,44729.0,71.5,21.0,28.0,18.0,76.0,46.0,20.0,69.4,18382.0
01015,Alabama,Calhoun,14260.0,5.0,6.6,22.0,99.0,59.0,12.0,2.8,4.9,29.0,51841.0,70.8,34.0,24.0,10.0,92.0,38.0,18.0,36.5,116429.0
01017,Alabama,Chambers,12569.0,4.8,6.3,27.0,97.0,41.0,13.0,2.4,5.1,26.0,50390.0,71.9,12.0,26.0,11.0,83.0,45.0,21.0,50.7,34079.0
01019,Alabama,Cherokee,12681.0,4.9,6.1,20.0,110.0,44.0,13.0,2.4,4.5,21.0,56400.0,72.4,20.0,23.0,6.0,93.0,40.0,18.0,100.0,25666.0
